symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
BNBUSDT,LONG,2026-02-15T04:00:00,2026-02-15T08:15:00,639.03712,634.04,0.93891259,150.0,4.0,-5.16998216,-0.03446655,17,STOP_EMA30,EMA_MACD+EMA_BB,False
LTCUSDT,SHORT,2026-02-16T02:30:00,2026-02-16T07:15:00,54.49813,54.17,10.94999059,149.18850268,4.0,3.11705441,0.0208934,19,STOP_MACD,EMA_MACD+EMA_BB,False
SOLUSDT,SHORT,2026-02-18T01:15:00,2026-02-18T02:30:00,84.043745,84.84,7.12106561,149.6202556,4.0,-6.15123699,-0.04111233,5,STOP_EMA30,EMA_MACD+EMA_BB,False
XAGUSDT,LONG,2026-02-19T15:30:00,2026-02-19T16:15:00,78.99832,78.08,7.52733279,148.66166119,4.0,-7.38545257,-0.0496796,3,STOP_EMA30,EMA_MACD+EMA_BB,False
LTCUSDT,SHORT,2026-02-22T12:00:00,2026-02-22T16:30:00,54.21855,53.41,10.88322462,147.5181645,4.0,8.33109299,0.05647503,18,STOP_MACD,EMA_MACD+EMA_BB,False
BTCUSDT,SHORT,2026-02-23T00:30:00,2026-02-23T04:15:00,67079.479625,64778.13,0.00886903,148.73242409,4.0,19.94295182,0.13408611,15,STOP_MACD,EMA_MACD+EMA_BB,False
SOLUSDT,SHORT,2026-02-23T15:45:00,2026-02-23T20:45:00,79.2809,78.31,7.65320127,151.68817108,4.0,6.94806316,0.04580491,20,STOP_MACD,EMA_MACD+EMA_BB,False
BNBUSDT,SHORT,2026-02-28T05:30:00,2026-02-28T10:15:00,610.40302,592.67,1.00061088,152.6939754,4.0,17.26232953,0.1130518,19,STOP_MACD,EMA_MACD+EMA_BB,False
XAGUSDT,LONG,2026-02-28T16:30:00,2026-02-28T17:45:00,94.771945,94.2,6.55243187,155.24667827,4.0,-4.24292097,-0.02733019,5,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,LONG,2026-03-01T14:00:00,2026-03-01T15:45:00,2018.98394,1993.38,0.30623915,154.57298092,4.0,-8.33242596,-0.0539061,7,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,LONG,2026-03-05T10:15:00,2026-03-05T12:30:00,2146.65516,2134.74,0.28562765,153.28601951,4.0,-3.89245314,-0.0253934,9,STOP_MACD,EMA_MACD+EMA_BB,False
LTCUSDT,SHORT,2026-03-07T04:00:00,2026-03-07T08:00:00,53.529585,54.07,11.40792426,152.6653629,4.0,-6.65600856,-0.04359868,16,STOP_EMA30,EMA_MACD+EMA_BB,False
SOLUSDT,SHORT,2026-03-08T12:00:00,2026-03-08T18:15:00,81.93691,81.68,7.40229632,151.63032193,4.0,1.41726761,0.00934686,25,STOP_MACD,EMA_MACD+EMA_BB,False
BTCUSDT,LONG,2026-03-10T14:45:00,2026-03-10T17:30:00,71575.011715,70688.65,0.00848377,151.80652079,4.0,-8.00246373,-0.05271489,11,STOP_EMA30,EMA_MACD+EMA_BB,False
XAGUSDT,LONG,2026-03-11T00:45:00,2026-03-11T01:45:00,89.3338,88.55,6.74189244,150.56971767,4.0,-5.76400467,-0.0382813,4,STOP_EMA30,EMA_MACD+EMA_BB,False
LTCUSDT,LONG,2026-03-13T21:00:00,2026-03-13T21:45:00,56.033925,55.63,10.68416894,149.66898023,4.0,-4.79281743,-0.03202278,3,STOP_EMA30,EMA_MACD+EMA_BB,False
LTCUSDT,LONG,2026-03-14T03:00:00,2026-03-14T04:45:00,55.753505,55.53,10.6837507,148.91413706,4.0,-2.86344179,-0.01922881,7,STOP_EMA30,EMA_MACD+EMA_BB,False
BNBUSDT,LONG,2026-03-15T20:30:00,2026-03-16T00:15:00,665.466705,671.81,0.89229938,148.4488814,4.0,5.1828177,0.03491315,15,END_OF_TEST,EMA_MACD+EMA_BB,False
