timestamp,equity,cash,open_positions
2026-02-14T00:15:00,1000.0,1000.0,0
2026-02-14T00:30:00,1000.0,1000.0,0
2026-02-14T00:45:00,1000.0,1000.0,0
2026-02-14T01:00:00,1000.0,1000.0,0
2026-02-14T01:15:00,1000.0,1000.0,0
2026-02-14T01:30:00,1000.0,1000.0,0
2026-02-14T01:45:00,1000.0,1000.0,0
2026-02-14T02:00:00,1000.0,1000.0,0
2026-02-14T02:15:00,1000.0,1000.0,0
2026-02-14T02:30:00,1000.0,1000.0,0
2026-02-14T02:45:00,1000.0,1000.0,0
2026-02-14T03:00:00,1000.0,1000.0,0
2026-02-14T03:15:00,1000.0,1000.0,0
2026-02-14T03:30:00,1000.0,1000.0,0
2026-02-14T03:45:00,1000.0,1000.0,0
2026-02-14T04:00:00,1000.0,1000.0,0
2026-02-14T04:15:00,1000.0,1000.0,0
2026-02-14T04:30:00,1000.0,1000.0,0
2026-02-14T04:45:00,1000.0,1000.0,0
2026-02-14T05:00:00,1000.0,1000.0,0
2026-02-14T05:15:00,1000.0,1000.0,0
2026-02-14T05:30:00,1000.0,1000.0,0
2026-02-14T05:45:00,1000.0,1000.0,0
2026-02-14T06:00:00,1000.0,1000.0,0
2026-02-14T06:15:00,1000.0,1000.0,0
2026-02-14T06:30:00,1000.0,1000.0,0
2026-02-14T06:45:00,1000.0,1000.0,0
2026-02-14T07:00:00,1000.0,1000.0,0
2026-02-14T07:15:00,1000.0,1000.0,0
2026-02-14T07:30:00,1000.0,1000.0,0
2026-02-14T07:45:00,1000.0,1000.0,0
2026-02-14T08:00:00,1000.0,1000.0,0
2026-02-14T08:15:00,1000.0,1000.0,0
2026-02-14T08:30:00,999.240898652022,899.84,1
2026-02-14T08:45:00,1000.1425733334324,899.84,1
2026-02-14T09:00:00,999.6097655671444,899.84,1
2026-02-14T09:15:00,999.4458247159789,899.84,1
2026-02-14T09:30:00,1000.6753810997203,899.84,1
2026-02-14T09:45:00,1002.4377452497498,899.84,1
2026-02-14T10:00:00,1001.495085355548,899.84,1
2026-02-14T10:15:00,1001.7000114195049,899.84,1
2026-02-14T10:30:00,1001.6590262067135,899.84,1
2026-02-14T10:45:00,1002.1918339730015,899.84,1
2026-02-14T11:00:00,1005.675577060269,899.84,1
2026-02-14T11:15:00,1009.85606876499,899.84,1
2026-02-14T11:30:00,1010.060994828947,899.84,1
2026-02-14T11:45:00,1012.2332111068902,899.84,1
2026-02-14T12:00:00,1010.8806990847746,899.84,1
2026-02-14T12:15:00,1010.1839504673211,899.84,1
2026-02-14T12:30:00,1008.5855271684571,899.84,1
2026-02-14T12:45:00,1008.1346898277519,899.84,1
2026-02-14T13:00:00,1008.0117341893778,899.84,1
2026-02-14T13:15:00,1007.2330151463416,899.84,1
2026-02-14T13:30:00,1008.66749759404,899.84,1
2026-02-14T13:45:00,1010.060994828947,899.84,1
2026-02-14T14:00:00,1012.4791223836385,899.84,1
2026-02-14T14:15:00,1014.3644421720421,899.84,1
2026-02-14T14:30:00,1016.0038506836975,899.84,1
2026-02-14T14:45:00,1023.0942924966066,899.84,1
2026-02-14T15:00:00,1020.5122240907494,899.84,1
2026-02-14T15:15:00,1022.2336030279876,899.84,1
2026-02-14T15:30:00,1021.5778396233254,899.84,1
2026-02-14T15:45:00,1026.0862130303774,899.84,1
2026-02-14T16:00:00,1025.1025679233844,899.84,1
2026-02-14T16:15:00,1022.1516326024048,899.84,1
2026-02-14T16:30:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T16:45:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T17:00:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T17:15:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T17:30:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T17:45:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T18:00:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T18:15:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T18:30:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T18:45:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T19:00:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T19:15:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T19:30:00,1019.8613093916713,1019.8613093916713,0
2026-02-14T19:45:00,1019.8613093916713,1019.8613093916713,0
