"timestamp","symbol","reason","event_side","event_entry_price","event_target_margin","event_quantity","event_stop_price","event_tp1_price","event_ema_macd_signal_bars_ago","event_ema_bb_signal_bars_ago","close","ema10","ema30","ema30_1h","ema_cross","macd_cross","macd_zone","macd_hist","bb_break","bb_width_expand"
"2026-02-14T16:45:00","SOLUSDT","EMA_BB","LONG","88.25218","149.38722015","6.77092487","86.3576","95.1696","","0.0","88.12","87.48014643096474","86.82967342375618","84.59759266445535","NONE","NONE","ABOVE_ZERO","0.061784502159860755","UPPER","True"
"2026-02-14T22:30:00","SOLUSDT","EMA_BB","LONG","88.7329","148.23597055","6.68234536","86.828","95.688","","0.0","88.6","88.13472186222752","87.80623372487358","85.7542498365329","NONE","NONE","ABOVE_ZERO","-0.01112927454845819","UPPER","True"
"2026-02-16T14:00:00","SOLUSDT","EMA_BB","SHORT","84.03376","142.62635198","6.78900251","85.8432","77.4272","","0.0","84.16","85.07982077753874","85.39331769518554","86.07447462584935","NONE","NONE","BELOW_ZERO","-0.19317802785061566","LOWER","True"
"2026-02-18T18:30:00","SOLUSDT","EMA_BB","SHORT","81.03826","138.05466624","6.81429568","83.02522344","73.69910622","","0.0","81.16","82.08607036681617","82.78174344461854","84.15674591868212","NONE","DEAD","BELOW_ZERO","-0.04838568400910004","LOWER","True"
"2026-02-20T00:00:00","SOLUSDT","EMA_BB","LONG","82.94423","138.2597823","6.66760219","81.1636","89.4456","","0.0","82.82","82.35656128752665","81.91793980884304","81.91916940229065","NONE","NONE","ABOVE_ZERO","0.026774567678060024","UPPER","True"
"2026-02-21T02:15:00","SOLUSDT","EMA_BB","LONG","85.037365","137.29480341","6.45809302","83.2118","91.7028","","0.0","84.91","84.66935780914804","84.51291828380708","83.75443540291445","NONE","NONE","ABOVE_ZERO","0.01444238474500778","UPPER","True"
"2026-02-21T06:00:00","SOLUSDT","EMA_MACD","LONG","84.877125","136.54972395","6.43517197","83.055","91.53","0.0","","84.75","84.52011329373693","84.50061345957917","83.93011425426032","GOLDEN","GOLDEN","ABOVE_ZERO","0.010710974885816958","NONE","True"
"2026-02-21T11:00:00","SOLUSDT","EMA_BB","LONG","85.738415","135.30660221","6.31253107","83.8978","92.4588","","0.0","85.61","85.03871947146203","84.7204514030283","84.1388675324727","NONE","NONE","ABOVE_ZERO","0.09512559558173905","UPPER","True"
"2026-02-22T23:15:00","SOLUSDT","EMA_BB","SHORT","82.605905","135.91968304","6.58159646","84.3846","76.1116","","0.0","82.73","83.18691927971233","83.3689633897692","84.27902537929613","NONE","NONE","BELOW_ZERO","0.004740964650298149","LOWER","True"
"2026-02-24T01:00:00","SOLUSDT","EMA_BB","SHORT","77.353795","142.30714962","7.35876758","79.0194","71.2724","","0.0","77.47","78.17052914966325","78.4623062453072","79.87012700219067","NONE","DEAD","BELOW_ZERO","-0.014065173643139167","LOWER","True"
