symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
BTCUSDT,LONG,2026-02-14T07:30:00,2026-02-14T12:45:00,69285.3724,69640.2,0.00865984,150.0,4.0,2.59151992,0.0172768,21,STOP_EMA30,EMA_BB,False
BNBUSDT,LONG,2026-02-14T14:45:00,2026-02-14T16:15:00,636.803775,630.75,0.94442108,150.35272799,4.0,-6.19615456,-0.04121079,6,STOP_MACD,EMA_BB,False
SOLUSDT,LONG,2026-02-14T16:45:00,2026-02-14T18:15:00,88.25218,87.93,6.77092487,149.38722015,4.0,-2.6586231,-0.01779686,6,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-14T21:00:00,2026-02-14T21:30:00,2098.352815,2084.04,0.2839419,148.95257375,4.0,-4.53903059,-0.03047299,2,STOP_MACD,EMA_BB,False
SOLUSDT,LONG,2026-02-14T22:30:00,2026-02-14T23:30:00,88.7329,88.24,6.68234536,148.23597055,4.0,-3.76676564,-0.0254106,4,STOP_MACD,EMA_BB,False
BNBUSDT,LONG,2026-02-15T04:00:00,2026-02-15T08:15:00,639.03712,634.04,0.92411144,147.63537907,4.0,-5.08848184,-0.03446655,17,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-02-15T12:45:00,2026-02-15T15:45:00,2007.9835,2011.29,0.29250574,146.8366743,4.0,-1.43743445,-0.00978934,12,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-15T17:00:00,2026-02-15T18:00:00,78.106985,77.61,7.50692494,146.58581833,4.0,-4.19841138,-0.02864132,4,STOP_EMA30,EMA_BB,False
BNBUSDT,SHORT,2026-02-15T17:45:00,2026-02-15T20:00:00,612.989135,613.03,0.95367862,146.1486588,4.0,-0.50666337,-0.00346677,9,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-16T02:15:00,2026-02-16T04:00:00,68247.984235,68640.0,0.00854588,145.80980084,4.0,-3.81805179,-0.02618515,7,STOP_EMA30,EMA_BB,False
BNBUSDT,SHORT,2026-02-16T05:15:00,2026-02-16T07:15:00,611.770965,614.09,0.94938862,145.20209872,4.0,-2.66719283,-0.01836883,8,STOP_EMA30,EMA_MACD,False
LTCUSDT,SHORT,2026-02-16T10:15:00,2026-02-16T12:15:00,54.17861,54.52,10.68814215,144.7671713,4.0,-4.11353933,-0.02841486,8,STOP_EMA30,EMA_MACD,False
BNBUSDT,LONG,2026-02-16T13:00:00,2026-02-16T13:30:00,628.391175,618.32,0.91736105,144.11539628,4.0,-9.69637733,-0.06728204,2,STOP_EMA30,EMA_BB,False
SOLUSDT,SHORT,2026-02-16T14:00:00,2026-02-16T17:00:00,84.03376,84.13,6.78900251,142.62635198,4.0,-1.11003928,-0.00778285,12,STOP_MACD,EMA_BB,False
XAGUSDT,SHORT,2026-02-16T19:30:00,2026-02-16T19:45:00,76.4851,76.7,7.44854178,142.42561577,4.0,-2.05709388,-0.01444329,1,STOP_EMA30,EMA_MACD,False
LTCUSDT,LONG,2026-02-16T22:00:00,2026-02-16T23:30:00,55.252755,54.95,10.28602969,142.08286954,4.0,-3.56756644,-0.02510905,6,STOP_MACD,EMA_BB,False
XAGUSDT,SHORT,2026-02-17T00:00:00,2026-02-17T02:15:00,75.92594,76.21,7.45535108,141.51363468,4.0,-2.57145777,-0.0181711,9,STOP_MACD,EMA_MACD+EMA_BB,False
LTCUSDT,LONG,2026-02-17T04:15:00,2026-02-17T05:15:00,55.4831,54.87,10.17203096,141.09395274,4.0,-6.68547824,-0.04738317,4,STOP_EMA30,EMA_BB,False
LTCUSDT,LONG,2026-02-17T08:15:00,2026-02-17T09:00:00,55.793565,55.15,10.04110553,140.05726846,4.0,-6.9077025,-0.04932056,3,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-02-17T10:15:00,2026-02-17T12:00:00,1963.92968,1973.1,0.2830804,138.98749934,4.0,-3.04173622,-0.02188496,7,STOP_MACD,EMA_BB,False
XAGUSDT,SHORT,2026-02-17T13:45:00,2026-02-17T16:15:00,72.91047,73.7,7.59824381,138.49788191,4.0,-6.44463428,-0.04653237,10,STOP_MACD,EMA_BB,False
XAGUSDT,SHORT,2026-02-17T23:30:00,2026-02-18T01:30:00,73.140125,73.39,7.51969988,137.49794727,4.0,-2.31973003,-0.01687102,8,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2026-02-18T07:30:00,2026-02-18T10:00:00,2015.168225,2016.6,0.27216981,137.11698826,4.0,-0.04924431,-0.00035914,10,STOP_MACD,EMA_BB,False
LTCUSDT,SHORT,2026-02-18T11:00:00,2026-02-18T15:00:00,53.909015,54.19,10.17096629,137.07669354,4.0,-3.29767754,-0.02405717,16,STOP_EMA30,EMA_BB,False
XAGUSDT,LONG,2026-02-18T13:15:00,2026-02-18T17:15:00,76.484555,77.98,7.15349303,136.78293273,4.0,10.25567093,0.07497771,16,STOP_MACD,EMA_BB,False
SOLUSDT,SHORT,2026-02-18T18:30:00,2026-02-18T20:30:00,81.03826,81.5,6.81429568,138.05466624,4.0,-3.58946639,-0.02600033,8,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-18T20:45:00,2026-02-18T23:45:00,77.43598,77.17,7.10176913,137.48311316,4.0,-2.32811894,-0.01693385,12,STOP_EMA30,EMA_MACD,False
XAGUSDT,LONG,2026-02-19T03:30:00,2026-02-19T09:15:00,77.986805,78.73,7.03200493,137.10089937,4.0,4.78533757,0.03490376,23,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-19T15:30:00,2026-02-19T16:15:00,78.99832,78.08,7.07293017,139.68740015,4.0,-6.93961483,-0.0496796,3,STOP_EMA30,EMA_MACD+EMA_BB,False
LTCUSDT,SHORT,2026-02-19T05:30:00,2026-02-19T16:15:00,53.16014,51.78,10.31622635,137.10300927,4.0,13.80480214,0.10068927,43,STOP_MACD,EMA_MACD,False
XAGUSDT,LONG,2026-02-19T20:30:00,2026-02-19T23:30:00,78.55766,78.19,7.06483081,138.74914419,4.0,-3.04041397,-0.02191303,12,STOP_EMA30,EMA_MACD,False
SOLUSDT,LONG,2026-02-20T00:00:00,2026-02-20T02:00:00,82.94423,83.02,6.66760219,138.2597823,4.0,0.06257083,0.00045256,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-20T05:00:00,2026-02-20T05:30:00,1936.440975,1960.05,0.2855465,138.23598558,4.0,-7.18652619,-0.05198738,2,STOP_EMA30,EMA_BB,False
XAGUSDT,LONG,2026-02-20T05:15:00,2026-02-20T11:30:00,78.627765,80.29,7.01415839,137.87689937,4.0,11.21330982,0.08132842,25,STOP_MACD,EMA_MACD,False
ETHUSDT,SHORT,2026-02-20T13:30:00,2026-02-20T15:00:00,1925.517385,1945.94,0.28828353,138.77373603,4.0,-6.33393445,-0.04564217,6,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-20T14:30:00,2026-02-20T15:00:00,81.572175,80.8,6.7561145,137.77773855,4.0,-5.65570472,-0.04104948,2,STOP_MACD,EMA_BB,False
LTCUSDT,LONG,2026-02-20T15:30:00,2026-02-20T19:15:00,54.44154,54.87,10.05915099,136.9089178,4.0,3.87011132,0.02826778,15,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-20T20:30:00,2026-02-20T23:00:00,84.256195,84.65,6.52564842,137.45657636,4.0,2.128944,0.01548812,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-02-20T23:00:00,2026-02-21T00:30:00,68128.4396,67840.67,0.00808725,137.74292838,4.0,-2.76711112,-0.02008895,6,STOP_MACD,EMA_BB,False
SOLUSDT,LONG,2026-02-21T02:15:00,2026-02-21T03:00:00,85.037365,84.37,6.45809302,137.29480341,4.0,-4.74752466,-0.03457906,3,STOP_EMA30,EMA_BB,False
SOLUSDT,LONG,2026-02-21T06:00:00,2026-02-21T06:15:00,84.877125,84.33,6.43517197,136.54972395,4.0,-3.95639424,-0.02897402,1,STOP_EMA30,EMA_MACD,False
LTCUSDT,LONG,2026-02-21T08:30:00,2026-02-21T09:45:00,55.453055,55.1,9.80458104,135.92349288,4.0,-3.89512691,-0.02865676,5,STOP_EMA30,EMA_BB,False
SOLUSDT,LONG,2026-02-21T11:00:00,2026-02-21T12:30:00,85.738415,85.11,6.31253107,135.30660221,4.0,-4.39828359,-0.03250605,6,STOP_MACD,EMA_BB,False
LTCUSDT,LONG,2026-02-21T13:30:00,2026-02-21T17:00:00,55.392965,55.48,9.72068465,134.61438609,4.0,0.41493534,0.0030824,14,STOP_MACD,EMA_MACD,False
LTCUSDT,SHORT,2026-02-22T12:00:00,2026-02-22T16:30:00,54.21855,53.41,9.93345037,134.64431893,4.0,7.60404216,0.05647503,18,STOP_MACD,EMA_MACD+EMA_BB,False
XAGUSDT,LONG,2026-02-22T14:30:00,2026-02-22T18:15:00,85.1275,85.01,6.39440656,136.08496115,4.0,-1.18651411,-0.00871892,15,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-22T22:15:00,2026-02-23T03:30:00,85.598205,87.24,6.33386988,135.54197311,4.0,9.96102202,0.07349031,21,STOP_MACD,EMA_BB,False
SOLUSDT,SHORT,2026-02-22T23:15:00,2026-02-23T04:45:00,82.605905,77.39,6.58159646,135.91968304,4.0,33.90777051,0.24946917,22,RUNNER_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-23T10:15:00,2026-02-23T11:15:00,86.980275,86.34,6.53284397,142.0571412,4.0,-4.6357264,-0.03263283,4,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2026-02-23T15:15:00,2026-02-23T21:00:00,65707.83019,64599.99,0.0086034,141.32768852,4.0,9.0827563,0.06426735,23,STOP_MACD,EMA_MACD+EMA_BB,False
XAGUSDT,LONG,2026-02-23T20:15:00,2026-02-23T22:30:00,88.402405,88.15,6.49267925,143.49211522,4.0,-2.09730396,-0.01461616,9,STOP_MACD,EMA_BB,False
SOLUSDT,SHORT,2026-02-24T01:00:00,2026-02-24T02:15:00,77.353795,78.07,7.35876758,142.30714962,4.0,-5.72787716,-0.0402501,5,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-24T03:00:00,2026-02-24T05:00:00,1828.99239,1838.49,0.30927152,141.41381433,4.0,-3.39103943,-0.02397955,8,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-24T06:00:00,2026-02-24T09:15:00,88.9332,88.04,6.33604634,140.8712191,4.0,-6.10788075,-0.0433579,13,STOP_MACD,EMA_MACD+EMA_BB,False
BTCUSDT,SHORT,2026-02-24T12:45:00,2026-02-24T14:30:00,62874.596425,63336.41,0.00890161,139.92122789,4.0,-4.56027497,-0.03259173,7,STOP_EMA30,EMA_BB,False
BNBUSDT,SHORT,2026-02-24T18:00:00,2026-02-24T18:15:00,584.272275,587.4,0.95419536,139.37747382,4.0,-3.43166239,-0.02462136,1,STOP_EMA30,EMA_MACD,False
