symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
BTCUSDT,LONG,2026-02-14T00:45:00,2026-02-14T04:30:00,69193.87536,68852.0,0.01156172,200.0,4.0,-4.59108507,-0.02295543,15,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2026-02-14T07:30:00,2026-02-14T12:45:00,69285.3724,69640.2,0.01148974,199.01778299,4.0,3.43839032,0.0172768,21,STOP_EMA30,EMA_BB,False
BNBUSDT,LONG,2026-02-14T14:45:00,2026-02-14T16:15:00,636.803775,630.75,1.25402382,199.64177536,4.0,-8.22739509,-0.04121079,6,STOP_MACD,EMA_BB,False
SOLUSDT,LONG,2026-02-14T16:45:00,2026-02-14T18:15:00,88.25218,87.93,8.97121911,197.93241097,4.0,-3.52257495,-0.01779686,6,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-14T21:00:00,2026-02-14T21:30:00,2098.352815,2084.04,0.37584634,197.16455761,4.0,-6.00819398,-0.03047299,2,STOP_MACD,EMA_BB,False
SOLUSDT,LONG,2026-02-14T22:30:00,2026-02-14T23:30:00,88.7329,88.24,8.83098946,195.89982616,4.0,-4.97793303,-0.0254106,4,STOP_MACD,EMA_BB,False
BNBUSDT,LONG,2026-02-15T04:00:00,2026-02-15T08:15:00,639.03712,634.04,1.21959458,194.84155161,4.0,-6.71551564,-0.03446655,17,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-02-15T12:45:00,2026-02-15T15:45:00,2007.9835,2011.29,0.38533404,193.43609918,4.0,-1.89361217,-0.00978934,12,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-15T17:00:00,2026-02-15T18:00:00,78.106985,77.61,9.88364752,192.9954772,4.0,-5.52764528,-0.02864132,4,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-02-15T17:45:00,2026-02-15T20:45:00,1968.34305,1950.11,0.39063934,192.22805586,4.0,6.5102658,0.03386741,12,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-16T02:15:00,2026-02-16T04:00:00,68247.984235,68640.0,0.01131572,193.06872977,4.0,-5.05553402,-0.02618515,7,STOP_EMA30,EMA_BB,False
BNBUSDT,SHORT,2026-02-16T05:15:00,2026-02-16T07:15:00,611.770965,614.09,1.25534458,191.99584097,4.0,-3.52673918,-0.01836883,8,STOP_EMA30,EMA_MACD,False
LTCUSDT,SHORT,2026-02-16T10:15:00,2026-02-16T12:15:00,54.17861,54.52,14.11841717,191.22905447,4.0,-5.43374737,-0.02841486,8,STOP_EMA30,EMA_MACD,False
BNBUSDT,LONG,2026-02-16T13:00:00,2026-02-16T13:30:00,628.391175,618.32,1.20995405,190.0811117,4.0,-12.78904427,-0.06728204,2,STOP_EMA30,EMA_BB,False
SOLUSDT,SHORT,2026-02-16T14:00:00,2026-02-16T17:00:00,84.03376,84.13,8.92319834,187.46247689,4.0,-1.45899204,-0.00778285,12,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-16T19:15:00,2026-02-16T19:30:00,1968.74245,1977.82,0.38016286,187.11069049,4.0,-4.05108197,-0.02165072,1,STOP_EMA30,EMA_MACD,False
XAGUSDT,SHORT,2026-02-16T20:00:00,2026-02-16T20:15:00,76.515055,76.69,9.73615447,186.24059867,4.0,-2.29994278,-0.01234931,1,STOP_EMA30,EMA_MACD,False
LTCUSDT,LONG,2026-02-16T22:00:00,2026-02-16T23:30:00,55.252755,54.95,13.44519477,185.72101313,4.0,-4.66327894,-0.02510905,6,STOP_MACD,EMA_BB,False
XAGUSDT,SHORT,2026-02-17T00:00:00,2026-02-17T02:15:00,75.92594,76.21,9.73205872,184.72892661,4.0,-3.35672696,-0.0181711,9,STOP_MACD,EMA_MACD+EMA_BB,False
LTCUSDT,LONG,2026-02-17T04:15:00,2026-02-17T05:15:00,55.4831,54.87,13.26519015,183.99846797,4.0,-8.71843003,-0.04738317,4,STOP_EMA30,EMA_BB,False
LTCUSDT,LONG,2026-02-17T08:00:00,2026-02-17T09:00:00,55.86367,55.15,13.04575245,182.19590245,4.0,-9.88966489,-0.05428039,4,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-02-17T10:15:00,2026-02-17T12:00:00,67814.42555,68068.07,0.01062663,180.15966678,4.0,-3.27297428,-0.01816708,7,STOP_MACD,EMA_BB,False
XAGUSDT,SHORT,2026-02-17T13:45:00,2026-02-17T16:15:00,72.91047,73.7,9.84480944,179.44742083,4.0,-8.35011325,-0.04653237,10,STOP_MACD,EMA_BB,False
XAGUSDT,SHORT,2026-02-17T23:30:00,2026-02-18T01:30:00,73.140125,73.39,9.71942419,177.71997501,4.0,-2.9983165,-0.01687102,8,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2026-02-18T07:30:00,2026-02-18T10:00:00,2015.168225,2016.6,0.35146136,177.06344132,4.0,-0.06359071,-0.00035914,10,STOP_MACD,EMA_BB,False
LTCUSDT,SHORT,2026-02-18T11:00:00,2026-02-18T15:00:00,53.909015,54.19,13.13279887,176.99406287,4.0,-4.25797654,-0.02405717,16,STOP_EMA30,EMA_BB,False
XAGUSDT,LONG,2026-02-18T13:15:00,2026-02-18T17:15:00,76.484555,77.98,9.23001108,176.48832245,4.0,13.23269009,0.07497771,16,STOP_MACD,EMA_BB,False
SOLUSDT,SHORT,2026-02-18T18:30:00,2026-02-18T20:30:00,81.03826,81.5,8.81933503,178.67589122,4.0,-4.6456315,-0.02600033,8,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-18T20:45:00,2026-02-18T23:45:00,77.43598,77.17,9.17865771,177.68958864,4.0,-3.00896952,-0.01693385,12,STOP_EMA30,EMA_MACD,False
SOLUSDT,SHORT,2026-02-19T04:45:00,2026-02-19T05:00:00,81.367765,81.74,8.69043535,176.78032531,4.0,-3.8018752,-0.02150621,1,STOP_EMA30,EMA_MACD,False
XAGUSDT,LONG,2026-02-19T03:30:00,2026-02-19T09:15:00,77.986805,78.73,9.08004548,177.03093406,4.0,6.17904611,0.03490376,23,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-19T15:30:00,2026-02-19T16:15:00,78.99832,78.08,9.14712998,180.65197522,4.0,-8.97471872,-0.0496796,3,STOP_EMA30,EMA_MACD+EMA_BB,False
LTCUSDT,SHORT,2026-02-19T05:30:00,2026-02-19T16:15:00,53.16014,51.78,13.25937982,176.21762184,4.0,17.74322399,0.10068927,43,STOP_MACD,EMA_MACD,False
XAGUSDT,LONG,2026-02-19T20:30:00,2026-02-19T23:30:00,78.55766,78.19,9.11598698,179.03265142,4.0,-3.92314762,-0.02191303,12,STOP_EMA30,EMA_MACD,False
SOLUSDT,LONG,2026-02-20T00:00:00,2026-02-20T02:00:00,82.94423,83.02,8.59327919,178.19073145,4.0,0.08064198,0.00045256,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-20T05:00:00,2026-02-20T05:30:00,1936.440975,1960.05,0.36799436,178.14983881,4.0,-9.2615427,-0.05198738,2,STOP_EMA30,EMA_BB,False
XAGUSDT,LONG,2026-02-20T05:15:00,2026-02-20T11:30:00,78.627765,80.29,9.03155852,177.53281521,4.0,14.43846264,0.08132842,25,STOP_MACD,EMA_MACD,False
ETHUSDT,SHORT,2026-02-20T13:30:00,2026-02-20T15:00:00,1925.517385,1945.94,0.37199644,179.07140435,4.0,-8.17320748,-0.04564217,6,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-20T14:30:00,2026-02-20T15:00:00,81.572175,80.8,8.69697437,177.35777879,4.0,-7.28044484,-0.04104948,2,STOP_MACD,EMA_BB,False
LTCUSDT,LONG,2026-02-20T15:30:00,2026-02-20T19:15:00,54.44154,54.87,12.92150197,175.86661655,4.0,4.97135902,0.02826778,15,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-20T20:15:00,2026-02-20T23:00:00,84.336315,84.65,8.38569297,176.80461104,4.0,2.06363916,0.01167186,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-02-20T23:00:00,2026-02-21T00:30:00,68128.4396,67840.67,0.01040157,177.16076139,4.0,-3.55897409,-0.02008895,6,STOP_MACD,EMA_BB,False
SOLUSDT,LONG,2026-02-21T02:15:00,2026-02-21T03:00:00,85.037365,84.37,8.29716561,176.39227513,4.0,-6.09947831,-0.03457906,3,STOP_EMA30,EMA_BB,False
SOLUSDT,LONG,2026-02-21T06:00:00,2026-02-21T06:15:00,84.877125,84.33,8.25267981,175.11593394,4.0,-5.07381233,-0.02897402,1,STOP_EMA30,EMA_MACD,False
LTCUSDT,LONG,2026-02-21T08:30:00,2026-02-21T09:45:00,55.453055,55.1,12.55441269,174.04513437,4.0,-4.98756964,-0.02865676,5,STOP_EMA30,EMA_BB,False
SOLUSDT,LONG,2026-02-21T11:00:00,2026-02-21T12:30:00,85.738415,85.11,8.07068458,172.991926,4.0,-5.62328472,-0.03250605,6,STOP_MACD,EMA_BB,False
LTCUSDT,LONG,2026-02-21T13:30:00,2026-02-21T17:00:00,55.392965,55.48,12.40676766,171.81191164,4.0,0.52959298,0.0030824,14,STOP_MACD,EMA_MACD,False
XAGUSDT,LONG,2026-02-21T18:45:00,2026-02-21T20:30:00,84.897155,84.66,8.097461,171.86285043,4.0,-2.46954634,-0.01436929,7,STOP_MACD,EMA_BB,False
LTCUSDT,SHORT,2026-02-22T12:00:00,2026-02-22T16:30:00,54.21855,53.41,12.63876994,171.31394505,4.0,9.67496045,0.05647503,18,STOP_MACD,EMA_MACD+EMA_BB,False
XAGUSDT,LONG,2026-02-22T13:30:00,2026-02-22T18:15:00,84.98729,85.01,8.13047853,172.74683419,4.0,-0.36822056,-0.00213156,19,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-22T22:15:00,2026-02-23T03:30:00,85.598205,87.24,8.08732817,173.06519357,4.0,12.71861523,0.07349031,21,STOP_MACD,EMA_BB,False
SOLUSDT,SHORT,2026-02-22T23:15:00,2026-02-23T04:45:00,82.605905,77.39,8.41141932,173.70822628,4.0,43.33484702,0.24946917,22,RUNNER_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-23T10:15:00,2026-02-23T11:15:00,86.980275,86.34,8.46927276,184.16491853,4.0,-6.00982229,-0.03263283,4,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2026-02-23T15:15:00,2026-02-23T21:00:00,65707.83019,64599.99,0.01113438,182.9040213,4.0,11.75475711,0.06426735,23,STOP_MACD,EMA_MACD+EMA_BB,False
XAGUSDT,LONG,2026-02-23T20:15:00,2026-02-23T22:30:00,88.402405,88.15,8.44496978,186.63890959,4.0,-2.72794449,-0.01461616,9,STOP_MACD,EMA_BB,False
SOLUSDT,SHORT,2026-02-24T01:00:00,2026-02-24T02:15:00,77.353795,78.07,9.54529148,184.59113008,4.0,-7.42981165,-0.0402501,5,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-24T03:00:00,2026-02-24T05:00:00,1828.99239,1838.49,0.40032118,183.04609859,4.0,-4.38936281,-0.02397955,8,STOP_MACD,EMA_BB,False
XAGUSDT,LONG,2026-02-24T06:00:00,2026-02-24T09:15:00,88.9332,88.04,8.19085117,182.10965128,4.0,-7.89589272,-0.0433579,13,STOP_MACD,EMA_MACD+EMA_BB,False
BTCUSDT,SHORT,2026-02-24T12:45:00,2026-02-24T14:30:00,62874.596425,63336.41,0.01148141,180.47219765,4.0,-5.88190125,-0.03259173,7,STOP_EMA30,EMA_BB,False
BNBUSDT,SHORT,2026-02-24T18:00:00,2026-02-24T18:15:00,584.272275,587.4,1.22912943,179.53656251,4.0,-4.42043361,-0.02462136,1,STOP_EMA30,EMA_MACD,False
XAGUSDT,LONG,2026-02-24T17:00:00,2026-02-24T18:15:00,87.95173,87.72,8.1516562,179.23806629,4.0,-2.46178951,-0.01373475,5,STOP_EMA30,EMA_MACD,False
SOLUSDT,LONG,2026-02-24T22:00:00,2026-02-25T00:00:00,79.37889,78.86,8.9233737,177.08187493,4.0,-5.19505928,-0.02933705,8,STOP_MACD,EMA_BB,False
BNBUSDT,SHORT,2026-02-24T21:30:00,2026-02-25T01:00:00,584.012665,595.61,1.21741753,177.74681379,4.0,-14.69323623,-0.08266385,14,STOP_EMA30,EMA_MACD,False
SOLUSDT,LONG,2026-02-25T02:00:00,2026-02-25T03:45:00,82.834065,81.75,8.38570989,173.6556095,4.0,-9.64271628,-0.05552781,7,STOP_MACD,EMA_BB,False
BNBUSDT,LONG,2026-02-25T08:15:00,2026-02-25T19:15:00,599.45784,630.64,1.14551173,171.67149645,4.0,35.15589337,0.20478585,44,RUNNER_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-25T21:30:00,2026-02-25T23:30:00,2114.5671,2042.14,0.33793724,178.64774025,4.0,-25.03769642,-0.14015121,8,STOP_EMA30,EMA_BB,False
XAGUSDT,SHORT,2026-02-25T23:45:00,2026-02-26T00:45:00,87.36875,89.25,7.94714511,173.58303369,4.0,-15.51201268,-0.08936365,4,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-26T04:15:00,2026-02-26T06:30:00,2067.927245,2061.73,0.32965393,170.42508458,4.0,-2.58748925,-0.01518256,9,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2026-02-26T09:30:00,2026-02-26T11:15:00,2076.379905,2059.24,0.32861778,170.58383871,4.0,-6.17609282,-0.03620562,7,STOP_EMA30,EMA_MACD,False
XAGUSDT,SHORT,2026-02-26T08:00:00,2026-02-26T11:15:00,87.90794,87.53,7.72867847,169.8530507,4.0,2.37861537,0.01400396,13,STOP_MACD,EMA_BB,False
SOLUSDT,LONG,2026-02-26T14:15:00,2026-02-26T14:30:00,87.9317,87.33,7.68708511,168.98461541,4.0,-5.16421975,-0.0305603,1,STOP_EMA30,EMA_MACD,False
XAGUSDT,SHORT,2026-02-26T15:15:00,2026-02-26T15:45:00,85.59142,87.44,7.84647323,167.89769638,4.0,-15.04790804,-0.08962546,2,STOP_EMA30,EMA_BB,False
LTCUSDT,SHORT,2026-02-26T17:00:00,2026-02-26T18:45:00,54.647905,55.29,12.06519353,164.83438751,4.0,-8.27756928,-0.05021749,7,STOP_MACD,EMA_BB,False
