symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
BTCUSDT,LONG,2026-02-14T07:30:00,2026-02-14T13:00:00,69285.3724,69475.10952062,0.00865984,150.0,4.0,1.16243521,0.00774957,22,STOP,EMA_MACD+EMA_BB,False
BNBUSDT,LONG,2026-02-14T14:45:00,2026-02-14T21:30:00,636.803775,629.63363218,0.94307459,150.13836528,4.0,-7.23971751,-0.0482203,27,STOP,EMA_MACD+EMA_BB,False
SOLUSDT,LONG,2026-02-14T23:00:00,2026-02-15T01:15:00,88.943215,87.7334543,6.70164102,149.01637445,4.0,-8.58099139,-0.05758422,9,STOP,EMA_MACD+EMA_BB,False
BNBUSDT,LONG,2026-02-15T04:00:00,2026-02-15T08:30:00,639.03712,633.15580346,0.92447501,147.69346181,4.0,-5.90757438,-0.03999889,18,STOP,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-02-15T13:00:00,2026-02-16T00:00:00,2017.10979,1976.56434885,0.29105382,146.77187922,4.0,11.33595602,0.0772352,44,STOP,EMA_MACD+EMA_BB,False
BTCUSDT,SHORT,2026-02-16T02:15:00,2026-02-16T04:45:00,68247.984235,68857.35039792,0.00869986,148.43704737,4.0,-5.77852193,-0.03892911,10,STOP,EMA_MACD+EMA_BB,False
LTCUSDT,SHORT,2026-02-16T05:30:00,2026-02-16T09:00:00,53.73927,54.55486452,10.98151458,147.53464419,4.0,-9.43215657,-0.06393181,14,STOP,EMA_MACD+EMA_BB,False
SOLUSDT,SHORT,2026-02-16T14:00:00,2026-02-16T17:15:00,84.03376,84.78437351,6.9536059,146.08441239,4.0,-5.68902846,-0.03894343,13,STOP,EMA_MACD+EMA_BB,False
BNBUSDT,LONG,2026-02-16T22:00:00,2026-02-17T02:00:00,627.990575,622.13758698,0.92482915,145.19599787,4.0,-5.87547594,-0.04046583,16,STOP,EMA_MACD+EMA_BB,False
XAGUSDT,SHORT,2026-02-17T00:00:00,2026-02-17T02:15:00,75.92594,76.44748719,7.64538923,145.12084099,4.0,-4.45341297,-0.03068762,9,STOP,EMA_MACD+EMA_BB,False
